date_id,event_date,year,month,day
200,1922-05-22,1922,5,22
201,1922-06-08,1922,6,8
202,1922-08-15,1922,8,15
203,1922-12-17,1922,12,17
204,1923-01-01,1923,1,1
205,1924-01-14,1924,1,14
206,1925-01-01,1925,1,1
207,1927-01-01,1927,1,1
208,1927-07-28,1927,7,28
209,1928-05-28,1928,5,28
210,1928-11-07,1928,11,7
211,1928-11-10,1928,11,10
212,1929-03-26,1929,3,26
213,1930-01-01,1930,1,1
214,1930-02-08,1930,2,8
215,1930-05-22,1930,5,22
216,1931-02-03,1931,2,3
217,1931-04-24,1931,4,24
218,1932-04-15,1932,4,15
219,1933-01-25,1933,1,25
220,1933-08-02,1933,8,2
221,1933-10-02,1933,10,2
222,1934-12-25,1934,12,25
223,1936-03-07,1936,3,7
224,1936-08-01,1936,8,1
225,1937-01-11,1937,1,11
226,1937-03-01,1937,3,1
227,1937-05-29,1937,5,29
228,1938-05-07,1938,5,7
229,1940-01-01,1940,1,1
230,1940-06-01,1940,6,1
231,1940-09-08,1940,9,8
232,1941-01-01,1941,1,1
233,1942-01-01,1942,1,1
234,1942-05-13,1942,5,13
235,1944-03-23,1944,3,23
236,1944-11-29,1944,11,29
237,1945-01-01,1945,1,1
238,1945-04-12,1945,4,12
239,1945-12-03,1945,12,3
240,1947-08-21,1947,8,21
241,1948-03-27,1948,3,27
242,1948-04-11,1948,4,11
243,1950-01-01,1950,1,1
244,1950-04-02,1950,4,2
245,1951-04-11,1951,4,11
246,1952-05-07,1952,5,7
247,1955-01-01,1955,1,1
248,1955-05-17,1955,5,17
249,1957-04-06,1957,4,6
250,1958-01-17,1958,1,17
251,1958-03-03,1958,3,3
252,1959-02-17,1959,2,17
253,1959-11-02,1959,11,2
254,1960-07-09,1960,7,9
255,1961-07-30,1961,7,30
256,1962-01-01,1962,1,1
257,1962-11-16,1962,11,16
258,1964-01-16,1964,1,16
259,1964-12-20,1964,12,20
260,1965-02-28,1965,2,28
261,1965-06-13,1965,6,13
262,1965-11-11,1965,11,11
263,1966-01-24,1966,1,24
264,1968-07-17,1968,7,17
265,1968-07-21,1968,7,21
266,1970-02-03,1970,2,3
267,1971-02-27,1971,2,27
268,1971-05-05,1971,5,5
269,1971-11-01,1971,11,1
270,1972-12-13,1972,12,13
271,1974-05-23,1974,5,23
272,1975-01-01,1975,1,1
273,1976-07-01,1976,7,1
274,1976-07-19,1976,7,19
275,1976-12-26,1976,12,26
276,1977-02-07,1977,2,7
277,1979-09-20,1979,9,20
278,1980-09-03,1980,9,3
279,1981-01-01,1981,1,1
280,1981-09-22,1981,9,22
281,1983-01-01,1983,1,1
282,1983-02-21,1983,2,21
283,1984-02-05,1984,2,5
